,Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
0,1,Boston Celtics,E,A,57,25,0.695,6.52,118.98,112.28,6.7,6.38,119.04,112.48,6.56,2023
1,2,Cleveland Cavaliers,E,C,51,31,0.622,5.38,117.31,111.69,5.62,5.23,117.31,111.84,5.47,2023
2,3,Philadelphia 76ers,E,A,54,28,0.659,4.32,118.87,114.51,4.35,4.37,118.98,114.56,4.42,2023
3,4,Memphis Grizzlies,W,SW,51,31,0.622,3.94,116.01,112.07,3.93,3.6,115.68,112.09,3.59,2023
4,5,Milwaukee Bucks,E,C,58,24,0.707,3.63,116.13,112.64,3.49,3.61,116.12,112.64,3.48,2023
5,6,New York Knicks,E,A,47,35,0.573,2.93,118.86,115.83,3.03,2.99,118.98,115.88,3.1,2023
6,7,Denver Nuggets,W,NW,53,29,0.646,3.33,118.38,115.05,3.34,3.04,118.22,115.18,3.04,2023
7,8,Sacramento Kings,W,P,48,34,0.585,2.65,119.97,117.48,2.49,2.3,119.86,117.72,2.14,2023
8,9,Phoenix Suns,W,P,45,37,0.549,2.07,116.05,113.94,2.12,2.08,115.97,113.86,2.11,2023
9,10,Toronto Raptors,E,A,41,41,0.5,1.48,116.37,114.86,1.51,1.59,116.55,114.91,1.63,2023
10,11,New Orleans Pelicans,W,SW,42,40,0.512,1.89,115.26,113.38,1.88,1.63,115.0,113.38,1.61,2023
11,12,Golden State Warriors,W,P,44,38,0.537,1.8,117.1,115.34,1.75,1.66,117.0,115.41,1.6,2023
12,13,Chicago Bulls,E,C,40,42,0.488,1.29,114.52,113.16,1.36,1.37,114.55,113.1,1.44,2023
13,14,Brooklyn Nets,E,A,45,37,0.549,0.85,116.07,115.07,1.0,1.03,116.19,115.01,1.18,2023
14,15,Oklahoma City Thunder,W,NW,40,42,0.488,1.09,115.92,114.9,1.03,0.96,115.8,114.91,0.89,2023
15,16,Los Angeles Lakers,W,P,43,39,0.524,0.57,115.31,114.76,0.55,0.43,115.07,114.67,0.4,2023
16,17,Atlanta Hawks,E,SE,41,41,0.5,0.29,117.45,117.16,0.29,0.32,117.66,117.34,0.32,2023
17,18,Los Angeles Clippers,W,P,44,38,0.537,0.5,115.91,115.4,0.51,0.31,115.67,115.37,0.31,2023
18,19,Dallas Mavericks,W,SW,38,44,0.463,0.07,117.63,117.56,0.06,-0.14,117.54,117.7,-0.16,2023
19,20,Minnesota Timberwolves,W,NW,42,40,0.512,-0.04,114.52,114.5,0.02,-0.22,114.26,114.43,-0.18,2023
20,21,Miami Heat,E,SE,44,38,0.537,-0.32,113.99,114.4,-0.41,-0.13,114.1,114.32,-0.22,2023
21,22,Utah Jazz,W,NW,37,45,0.451,-0.94,116.41,117.44,-1.02,-1.03,116.32,117.43,-1.11,2023
22,23,Washington Wizards,E,SE,35,47,0.427,-1.21,115.21,116.49,-1.28,-1.06,115.39,116.5,-1.12,2023
23,24,Orlando Magic,E,SE,34,48,0.415,-2.56,112.42,114.99,-2.57,-2.39,112.49,114.88,-2.39,2023
24,25,Indiana Pacers,E,C,35,47,0.427,-3.18,115.65,118.81,-3.16,-2.91,115.96,118.83,-2.87,2023
25,26,Portland Trail Blazers,W,NW,33,49,0.402,-4.01,115.72,119.83,-4.11,-3.96,115.72,119.79,-4.07,2023
26,27,Charlotte Hornets,E,SE,27,55,0.329,-6.24,109.86,116.14,-6.28,-5.89,110.04,115.96,-5.92,2023
27,28,Houston Rockets,W,SW,22,60,0.268,-7.85,112.14,120.16,-8.02,-7.62,112.21,119.99,-7.78,2023
28,29,Detroit Pistons,E,C,17,65,0.207,-8.22,111.35,119.68,-8.33,-7.73,111.69,119.52,-7.83,2023
29,30,San Antonio Spurs,W,SW,22,60,0.268,-10.04,111.11,120.96,-9.85,-9.82,111.14,120.79,-9.65,2023
0,1,Boston Celtics,E,A,64,18,0.78,11.34,124.23,112.51,11.71,10.74,123.81,112.7,11.11,2024
1,2,Oklahoma City Thunder,W,NW,57,25,0.695,7.41,120.43,113.12,7.31,7.36,120.49,113.23,7.26,2024
2,3,Minnesota Timberwolves,W,NW,56,26,0.683,6.45,116.63,109.98,6.65,6.38,116.53,109.95,6.57,2024
3,4,Denver Nuggets,W,NW,57,25,0.695,5.26,119.49,114.05,5.44,5.23,119.6,114.2,5.4,2024
4,5,New York Knicks,E,A,50,32,0.61,4.59,119.11,114.22,4.89,4.36,118.93,114.28,4.66,2024
5,6,New Orleans Pelicans,W,SW,49,33,0.598,4.41,118.31,113.7,4.61,4.46,118.4,113.75,4.65,2024
6,7,Los Angeles Clippers,W,P,51,31,0.622,3.28,119.75,116.51,3.24,3.41,119.97,116.59,3.37,2024
7,8,Phoenix Suns,W,P,49,33,0.598,3.06,118.78,115.69,3.09,3.08,118.83,115.73,3.1,2024
8,9,Golden State Warriors,W,P,46,36,0.561,2.61,118.67,115.95,2.72,2.77,118.76,115.89,2.87,2024
9,10,Indiana Pacers,E,C,47,35,0.573,3.05,121.85,118.85,2.99,2.75,121.73,119.03,2.7,2024
10,11,Philadelphia 76ers,E,A,47,35,0.573,3.05,117.79,114.76,3.02,2.51,117.5,115.01,2.49,2024
11,12,Milwaukee Bucks,E,C,49,33,0.598,2.62,119.12,116.49,2.64,2.44,119.0,116.53,2.46,2024
12,13,Sacramento Kings,W,P,46,36,0.561,1.74,117.68,116.01,1.67,2.29,117.91,115.68,2.23,2024
